| Region       | crops | animals | extract | food | manuf | svces | ai   |
|--------------|-------|---------|---------|------|-------|-------|------|
|    Australia |   0.0 |    -0.2 |    -0.1 | -0.2 |  -0.3 |  -0.3 | -0.1 |
|  New Zealand |   0.0 |    -0.1 |    -0.1 | -0.1 |  -0.3 |  -0.2 |  0.2 |
|          ROW |  -0.0 |    -0.1 |    -0.1 | -0.1 |  -0.3 |  -0.2 |  0.6 |
|        China |  -0.1 |    -0.2 |    -0.1 | -0.1 |  -0.2 |  -0.3 |  0.1 |
|        Japan |  -0.0 |    -0.1 |     0.0 | -0.0 |   0.2 |  -0.1 |  0.7 |
|  South Korea |   0.0 |    -0.3 |    -0.0 | -0.3 |  -0.2 |  -0.4 |  0.2 |
|        India |  -0.1 |    -0.1 |    -0.1 | -0.1 |  -0.3 |  -0.2 |  0.7 |
|       Canada |  -0.0 |    -0.2 |    -0.1 | -0.2 |  -0.3 |  -0.3 |  0.5 |
|          USA |  -0.0 |    -0.2 |    -0.1 | -0.2 |  -0.3 |  -0.3 |  0.1 |
|       Mexico |  -0.0 |    -0.0 |    -0.1 | -0.0 |  -0.0 |  -0.1 |  0.0 |
|    Argentina |  -0.1 |    -0.3 |    -0.2 | -0.3 |  -0.5 |  -0.5 | -0.3 |
|       Brazil |  -0.0 |    -0.1 |    -0.0 | -0.1 |  -0.3 |  -0.3 | -0.1 |
|           EU |  -0.2 |     0.5 |    -0.2 |  0.5 |   1.0 |   1.1 |  6.5 |
|           UK |  -0.0 |    -0.1 |    -0.1 | -0.3 |  -0.7 |  -0.2 |  1.5 |
|       Russia |  -0.0 |    -0.0 |    -0.0 |  0.0 |   0.0 |  -0.1 |  0.1 |
| South Africa |   0.0 |    -0.2 |    -0.1 | -0.2 |  -0.3 |  -0.4 |  0.3 |
